 INFO 2014-07-16 15:52:36,683 [main] (ContentManagement.java:1635) - User is on [Create New Schema] tab
 INFO 2014-07-16 15:52:36,683 [main] (ContentManagement.java:1636) - Verify validations on Create new Schema 
 INFO 2014-07-16 15:52:40,852 [main] (ContentManagement.java:1712) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:52:40,910 [main] (ContentManagement.java:1737) - Validation on 'Name' field is successful. User is on [CREATE NEW SCHEMA] page
 INFO 2014-07-16 15:52:40,918 [main] (ContentManagement.java:1746) - Enter the schema [Cybage Automation Test Schema] in Name textbox
 INFO 2014-07-16 15:52:41,030 [main] (ContentManagement.java:1750) - Entering Schema in Name textbox is successful
 INFO 2014-07-16 15:52:41,030 [main] (ContentManagement.java:1751) - Click on 'SAVE' button
 INFO 2014-07-16 15:52:47,148 [main] (ContentManagement.java:1772) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:52:47,214 [main] (ContentManagement.java:1819) - Validation success at Fields in [CREATE NEW SCHEMA]
 INFO 2014-07-16 15:52:56,973 [main] (ContentManagement.java:1859) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:53:03,174 [main] (ContentManagement.java:1928) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:53:09,540 [main] (ContentManagement.java:1980) - Click operation on ADD ATTRIBUTE is successful
 INFO 2014-07-16 15:53:15,765 [main] (ContentManagement.java:1992) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:53:22,118 [main] (ContentManagement.java:2052) - Click operation is successful on 'SAVE' button. Verify 'Name' field is mandatory for creating container
 INFO 2014-07-16 15:53:29,058 [main] (ContentManagement.java:2120) - Starting [createNewSchema] execution
 INFO 2014-07-16 15:53:29,059 [main] (ContentManagement.java:2121) - Verify if User is on [Create New Schema] page
